NAME,COLORWAY,ONEY_SALE,RETAIL_PRICE,RESELL_PRICE,RELEASE_DATE,RESELL_DATE,SIZE
adidas Yeezy Boost 350 V2 Static Reflective,STATIC/STATIC/STATIC,20844,$220,$888,12/26/2018,"Monday, October 14, 2019",6.5
adidas Yeezy Boost 350 V2 Static Reflective,STATIC/STATIC/STATIC,20844,$220,$389,12/26/2018,"Monday, October 14, 2019",14
adidas Yeezy Boost 350 V2 Static Reflective,STATIC/STATIC/STATIC,20844,$220,$800,12/26/2018,"Monday, October 14, 2019",8.5
adidas Yeezy Boost 350 V2 Static Reflective,STATIC/STATIC/STATIC,20844,$220,$909,12/26/2018,"Monday, October 14, 2019",8.5
adidas Yeezy Boost 350 V2 Static Reflective,STATIC/STATIC/STATIC,20844,$220,$940,12/26/2018,"Sunday, October 13, 2019",6
adidas Yeezy Boost 350 V2 Static Reflective,STATIC/STATIC/STATIC,20844,$220,$821,12/26/2018,"Sunday, October 13, 2019",5.5
adidas Yeezy Boost 350 V2 Static Reflective,STATIC/STATIC/STATIC,20844,$220,$730,12/26/2018,"Sunday, October 13, 2019",9.5
adidas Yeezy Boost 350 V2 Static Reflective,STATIC/STATIC/STATIC,20844,$220,$760,12/26/2018,"Sunday, October 13, 2019",9
adidas Yeezy Boost 350 V2 Static Reflective,STATIC/STATIC/STATIC,20844,$220,$900,12/26/2018,"Saturday, October 12, 2019",5
adidas Yeezy Boost 350 V2 Hyperspace,GREY/GREY/GREY,3573,$220,$420,03/16/2019,"Monday, October 14, 2019",9.5
adidas Yeezy Boost 350 V2 Hyperspace,GREY/GREY/GREY,3573,$220,$420,03/16/2019,"Monday, October 14, 2019",10.5
adidas Yeezy Boost 350 V2 Hyperspace,GREY/GREY/GREY,3573,$220,$418,03/16/2019,"Sunday, October 13, 2019",10.5
adidas Yeezy Boost 350 V2 Hyperspace,GREY/GREY/GREY,3573,$220,$410,03/16/2019,"Saturday, October 12, 2019",10.5
adidas Yeezy Boost 350 V2 Hyperspace,GREY/GREY/GREY,3573,$220,$406,03/16/2019,"Saturday, October 12, 2019",8.5
adidas Yeezy Boost 350 V2 Hyperspace,GREY/GREY/GREY,3573,$220,$412,03/16/2019,"Friday, October 11, 2019",9
adidas Yeezy Boost 350 V2 Hyperspace,GREY/GREY/GREY,3573,$220,$440,03/16/2019,"Friday, October 11, 2019",6
